team,GS,GA,WA,C,WD,GD,GK,duration,absPlusMinus,per15PlusMinus
Thunderbirds,L.Potgieter,G.Horjus,M.Nankivell,T.Williams,S.van der Merwe,K.Shimmin,S.Sterling,16.45,11,10.030395136778116
GIANTS,J.Harten,K.Austin,M.Hay,A.Parmenter,K.Manu'a,A.Brandley,S.Poolman,21.566666666666666,14,9.73724884080371
Fever,J.Fowler,A.Teague-Neeld,I.Colyer,V.Charles,J.Anstiss,S.Aryang,O.Lewis,17.45,11,9.455587392550143
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,A.Parmenter,A.Brandley,M.McDonell,31.0,18,8.70967741935484
Vixens,M.Kumwenda,C.Thwaites,L.Watson,K.Moloney,A.Smith,K.Eddy,J.Weston,24.866666666666667,12,7.238605898123324
Vixens,M.Kumwenda,T.Philip,L.Watson,K.Moloney,J.Weston,K.Eddy,E.Mannix,21.783333333333335,10,6.885998469778118
Fever,J.Fowler,K.Stanton,V.Charles,J.Anstiss,S.Eagland,C.Bruce,O.Lewis,18.883333333333333,8,6.354810238305384
Vixens,T.Philip,C.Thwaites,L.Watson,K.Moloney,K.Eddy,J.Weston,E.Mannix,30.0,11,5.5
Fever,J.Fowler,A.Teague-Neeld,V.Charles,J.Anstiss,S.Francis,S.Aryang,O.Lewis,27.366666666666667,10,5.481120584652862
Vixens,M.Kumwenda,T.Philip,L.Watson,K.Moloney,K.Eddy,J.Weston,E.Mannix,57.3,19,4.973821989528796
Swifts,S.Wallace,H.Housby,N.Haythornthwaite,P.Hadley,L.Moore,M.Turner,S.Klau,27.216666666666665,9,4.96019595835885
Firebirds,R.Aiken,T.Dwan,L.Dunkley,M.Cassidy,G.Simpson,K.Jenner,R.Ellis,18.883333333333333,6,4.766107678729038
Fever,J.Fowler,A.Teague-Neeld,I.Colyer,V.Charles,J.Anstiss,S.Francis,C.Bruce,136.01666666666668,42,4.631785320426418
Vixens,C.Thwaites,T.Philip,L.Watson,K.Moloney,J.Weston,K.Eddy,E.Mannix,25.966666666666665,8,4.621309370988447
Swifts,S.Garbin,H.Housby,M.Proud,P.Hadley,S.Craig,S.Klau,L.Moore,30.366666666666667,9,4.445664105378705
Swifts,S.Wallace,S.Garbin,M.Proud,P.Hadley,S.Craig,L.Moore,S.Klau,24.033333333333335,7,4.368932038834951
Thunderbirds,L.Potgieter,G.Horjus,M.Nankivell,H.Petty,L.Guscoth,K.Shimmin,S.Sterling,18.95,5,3.95778364116095
Firebirds,R.Aiken,T.Dwan,L.Dunkley,M.Gardner,G.Simpson,K.Jenner,T.Hinchliffe,34.68333333333333,9,3.8923594425756853
Fever,J.Fowler,A.Teague-Neeld,I.Colyer,V.Charles,J.Anstiss,S.Aryang,C.Bruce,43.71666666666667,11,3.7743042317956537
Lightning,P.Proscovia,C.Koenen,S.Wood,L.Langman,M.McAuliffe,K.Pretorius,P.Maweni,20.133333333333333,5,3.7251655629139075
Magpies,S.Nelson,G.Sinclair,M.Browne,M.Jovic,M.Bragg,J.Ward,G.Mentor,25.133333333333333,6,3.580901856763926
Fever,J.Fowler,K.Stanton,I.Colyer,V.Charles,J.Anstiss,S.Aryang,C.Bruce,25.233333333333334,6,3.5667107001321003
Swifts,S.Wallace,S.Garbin,M.Proud,P.Hadley,S.Craig,M.Turner,S.Klau,39.78333333333333,9,3.3933808127356517
Magpies,E.Ryde,G.Sinclair,K.Browne,K.Altmann,M.Bragg,J.Ward,G.Mentor,26.766666666666666,6,3.3623910336239105
Thunderbirds,L.Potgieter,G.Horjus,C.Pitman,T.Williams,M.Nankivell,L.Guscoth,S.Sterling,27.216666666666665,5,2.755664421310472
Lightning,C.Koenen,S.Wood,B.Hunt,L.Langman,J.Russell,K.Pretorius,P.Maweni,16.75,3,2.6865671641791047
Swifts,S.Wallace,S.Garbin,M.Proud,P.Hadley,L.Moore,M.Turner,S.Klau,17.05,3,2.6392961876832843
Lightning,C.Koenen,S.Wood,L.Scherian,M.McAuliffe,L.Langman,K.Pretorius,P.Maweni,35.18333333333333,6,2.5580293699668406
Vixens,C.Thwaites,T.Philip,E.McDonald,K.Moloney,K.Eddy,J.Weston,E.Mannix,20.1,3,2.2388059701492535
Firebirds,R.Aiken,T.Dwan,M.Gardner,M.Cassidy,G.Simpson,K.Jenner,R.Ellis,20.416666666666668,3,2.204081632653061
Swifts,S.Wallace,H.Housby,N.Haythornthwaite,P.Hadley,S.Craig,L.Moore,S.Klau,58.05,8,2.0671834625323
Fever,J.Fowler,A.Teague-Neeld,E.Cosh,V.Charles,J.Anstiss,S.Francis,C.Bruce,182.28333333333333,24,1.9749474261680535
Thunderbirds,S.Glasgow,G.Horjus,C.Pitman,H.Petty,M.Nankivell,L.Guscoth,S.Sterling,55.21666666666667,7,1.9015997585270146
Vixens,M.Kumwenda,C.Thwaites,L.Watson,K.Moloney,K.Eddy,J.Weston,K.Dehaney,95.26666666666667,12,1.8894331700489853
Vixens,C.Thwaites,T.Philip,L.Watson,K.Moloney,K.Eddy,J.Weston,E.Mannix,139.46666666666667,17,1.8283938814531548
Swifts,S.Wallace,S.Garbin,N.Haythornthwaite,P.Hadley,S.Craig,L.Moore,S.Klau,25.116666666666667,3,1.7916390179163901
