team,GS,GA,WA,C,WD,GD,GK,duration,absPlusMinus,per15PlusMinus
Thunderbirds,L.Potgieter,G.Horjus,M.Nankivell,T.Williams,S.van der Merwe,K.Shimmin,S.Sterling,16.45,11,10.030395136778116
Fever,J.Fowler,A.Teague-Neeld,I.Colyer,V.Charles,J.Anstiss,S.Aryang,O.Lewis,17.45,11,9.455587392550143
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,A.Parmenter,A.Brandley,M.McDonell,31.0,18,8.70967741935484
Vixens,M.Kumwenda,C.Thwaites,L.Watson,K.Moloney,A.Smith,K.Eddy,J.Weston,24.866666666666667,12,7.238605898123324
Vixens,M.Kumwenda,T.Philip,L.Watson,K.Moloney,J.Weston,K.Eddy,E.Mannix,21.783333333333335,10,6.885998469778118
Vixens,T.Philip,C.Thwaites,L.Watson,K.Moloney,K.Eddy,J.Weston,E.Mannix,30.0,11,5.5
Fever,J.Fowler,A.Teague-Neeld,V.Charles,J.Anstiss,S.Francis,S.Aryang,O.Lewis,27.366666666666667,10,5.481120584652862
Vixens,M.Kumwenda,T.Philip,L.Watson,K.Moloney,K.Eddy,J.Weston,E.Mannix,57.3,19,4.973821989528796
Fever,J.Fowler,A.Teague-Neeld,I.Colyer,V.Charles,J.Anstiss,S.Francis,C.Bruce,136.01666666666668,42,4.631785320426418
Vixens,C.Thwaites,T.Philip,L.Watson,K.Moloney,J.Weston,K.Eddy,E.Mannix,25.966666666666665,8,4.621309370988447
Swifts,S.Garbin,H.Housby,M.Proud,P.Hadley,S.Craig,S.Klau,L.Moore,30.366666666666667,9,4.445664105378705
Swifts,S.Wallace,S.Garbin,M.Proud,P.Hadley,S.Craig,L.Moore,S.Klau,24.033333333333335,7,4.368932038834951
Firebirds,R.Aiken,T.Dwan,L.Dunkley,M.Gardner,G.Simpson,K.Jenner,T.Hinchliffe,34.68333333333333,9,3.8923594425756853
Fever,J.Fowler,A.Teague-Neeld,I.Colyer,V.Charles,J.Anstiss,S.Aryang,C.Bruce,43.71666666666667,11,3.7743042317956537
Lightning,P.Proscovia,C.Koenen,S.Wood,L.Langman,M.McAuliffe,K.Pretorius,P.Maweni,20.133333333333333,5,3.7251655629139075
Magpies,S.Nelson,G.Sinclair,M.Browne,M.Jovic,M.Bragg,J.Ward,G.Mentor,25.133333333333333,6,3.580901856763926
